Riley, Gloria, 08:57:38, 09/02/2003
Harper, Elizabeth, 09:03:42, 09/02/2003
Richardson, Anna, 09:00:19, 09/02/2003
Taylor, Richard, 08:58:55, 09/02/2003
Boyd, James, 08:41:36, 09/02/2003
Hall, Barbara, 08:55:48, 09/02/2003
Garcia, Esperanza, 08:56:21, 09/02/2003
Diaz, Kyle, 09:03:26, 09/02/2003
Cruz, Herbert, 08:55:44, 09/02/2003
Hodges, Nicholas, 08:54:52, 09/02/2003
Sandoval, Carol, 08:48:18, 09/02/2003
Manning, Carmen, 09:01:05, 09/02/2003
Scott, Alexander, 09:06:24, 09/02/2003
Grant, William, 09:05:31, 09/02/2003
Buchanan, Nicole, 08:54:16, 09/02/2003
Chang, Wyatt, 09:12:41, 09/02/2003
Chang, Wyatt, 09:01:27, 09/04/2003
Harper, Elizabeth, 09:00:00, 09/04/2003
Grant, William, 09:04:18, 09/04/2003
Green, Kevin, 08:53:38, 09/04/2003
Hodges, Nicholas, 09:04:33, 09/04/2003
Conner, Christine, 09:02:00, 09/04/2003
Hall, Barbara, 08:53:08, 09/04/2003
Garcia, Esperanza, 08:52:44, 09/04/2003
Cruz, Herbert, 08:56:47, 09/04/2003
Sandoval, Carol, 09:02:02, 09/04/2003
Buchanan, Nicole, 08:59:18, 09/04/2003
Scott, Alexander, 09:00:16, 09/04/2003
Boyd, James, 08:55:56, 09/04/2003
Manning, Carmen, 09:02:47, 09/04/2003
Thomas, Wesley, 09:01:37, 09/04/2003
Riley, Gloria, 08:52:24, 09/04/2003
Jones, Stefanie, 08:59:17, 09/04/2003
Diaz, Kyle, 09:04:57, 09/04/2003
Diaz, Kyle, 09:08:47, 09/09/2003
Conner, Christine, 09:04:29, 09/09/2003
Cruz, Herbert, 09:00:26, 09/09/2003
Riley, Gloria, 09:01:01, 09/09/2003
Hodges, Nicholas, 09:07:17, 09/09/2003
Hall, Barbara, 08:57:42, 09/09/2003
Jones, Stefanie, 09:06:44, 09/09/2003
Thomas, Wesley, 09:00:17, 09/09/2003
Green, Kevin, 09:05:06, 09/09/2003
Garcia, Esperanza, 08:58:30, 09/09/2003
Sandoval, Carol, 08:56:23, 09/09/2003
Scott, Alexander, 09:02:20, 09/09/2003
Buchanan, Nicole, 09:04:45, 09/09/2003
Boyd, James, 08:53:02, 09/09/2003
Richardson, Anna, 09:05:09, 09/09/2003
Diaz, Kyle, 09:10:49, 09/11/2003
Garcia, Esperanza, 08:58:04, 09/11/2003
Green, Kevin, 08:55:50, 09/11/2003
Boyd, James, 08:53:17, 09/11/2003
Buchanan, Nicole, 09:04:09, 09/11/2003
Jones, Stefanie, 08:55:19, 09/11/2003
Sandoval, Carol, 09:04:10, 09/11/2003
Richardson, Anna, 09:05:59, 09/11/2003
Manning, Carmen, 09:02:33, 09/11/2003
Thomas, Wesley, 08:59:20, 09/11/2003
Hall, Barbara, 09:03:11, 09/11/2003
Cruz, Herbert, 09:00:32, 09/11/2003
Riley, Gloria, 08:55:17, 09/11/2003
Grant, William, 09:01:22, 09/11/2003
Chang, Wyatt, 09:08:31, 09/11/2003
Thomas, Wesley, 08:56:24, 09/16/2003
Conner, Christine, 09:04:57, 09/16/2003
Hodges, Nicholas, 08:52:47, 09/16/2003
Garcia, Esperanza, 08:59:00, 09/16/2003
Green, Kevin, 08:55:02, 09/16/2003
Buchanan, Nicole, 09:07:56, 09/16/2003
Harper, Elizabeth, 09:05:04, 09/16/2003
Manning, Carmen, 09:00:14, 09/16/2003
Scott, Alexander, 09:01:40, 09/16/2003
Sandoval, Carol, 08:56:27, 09/16/2003
Chang, Wyatt, 08:55:09, 09/16/2003
Diaz, Kyle, 08:56:59, 09/16/2003
Boyd, James, 08:54:14, 09/16/2003
Riley, Gloria, 08:51:13, 09/16/2003
Grant, William, 09:02:52, 09/16/2003
Taylor, Richard, 09:03:24, 09/16/2003
Jones, Stefanie, 09:02:35, 09/16/2003
Hall, Barbara, 08:53:50, 09/16/2003
Cruz, Herbert, 09:05:11, 09/16/2003
Richardson, Anna, 09:12:37, 09/16/2003
Chang, Wyatt, 08:53:05, 09/18/2003
Diaz, Kyle, 09:03:09, 09/18/2003
Boyd, James, 08:53:08, 09/18/2003
Hodges, Nicholas, 08:59:23, 09/18/2003
Scott, Alexander, 08:57:24, 09/18/2003
Riley, Gloria, 09:05:30, 09/18/2003
Sandoval, Carol, 09:05:37, 09/18/2003
Jones, Stefanie, 09:01:48, 09/18/2003
Taylor, Richard, 08:51:11, 09/18/2003
Thomas, Wesley, 09:00:43, 09/18/2003
Cruz, Herbert, 09:05:33, 09/18/2003
Green, Kevin, 09:08:40, 09/18/2003
Garcia, Esperanza, 09:04:31, 09/18/2003
Harper, Elizabeth, 09:06:51, 09/18/2003
Buchanan, Nicole, 09:06:25, 09/18/2003
Hall, Barbara, 08:59:53, 09/18/2003
Manning, Carmen, 08:49:00, 09/18/2003
Richardson, Anna, 09:03:47, 09/18/2003
Conner, Christine, 09:01:19, 09/18/2003
Chang, Wyatt, 08:53:30, 09/23/2003
Green, Kevin, 08:58:53, 09/23/2003
Sandoval, Carol, 08:45:25, 09/23/2003
Conner, Christine, 08:54:59, 09/23/2003
Hall, Barbara, 08:59:26, 09/23/2003
Cruz, Herbert, 08:58:33, 09/23/2003
Scott, Alexander, 09:02:11, 09/23/2003
Jones, Stefanie, 09:01:56, 09/23/2003
Richardson, Anna, 09:05:36, 09/23/2003
Riley, Gloria, 09:02:45, 09/23/2003
Thomas, Wesley, 08:54:05, 09/23/2003
Garcia, Esperanza, 09:08:21, 09/23/2003
Taylor, Richard, 08:56:41, 09/23/2003
Diaz, Kyle, 08:56:02, 09/23/2003
Harper, Elizabeth, 08:57:12, 09/23/2003
Hodges, Nicholas, 09:08:36, 09/23/2003
Green, Kevin, 09:02:26, 09/25/2003
Garcia, Esperanza, 09:09:01, 09/25/2003
Conner, Christine, 09:11:21, 09/25/2003
Jones, Stefanie, 08:49:31, 09/25/2003
Thomas, Wesley, 08:55:21, 09/25/2003
Buchanan, Nicole, 08:58:56, 09/25/2003
Scott, Alexander, 09:08:19, 09/25/2003
Cruz, Herbert, 08:51:06, 09/25/2003
Riley, Gloria, 08:48:55, 09/25/2003
Sandoval, Carol, 09:06:05, 09/25/2003
Richardson, Anna, 08:57:42, 09/25/2003
Grant, William, 08:51:19, 09/25/2003
Diaz, Kyle, 09:04:31, 09/25/2003
Hodges, Nicholas, 08:53:40, 09/25/2003
Harper, Elizabeth, 08:57:55, 09/25/2003
Boyd, James, 08:54:45, 09/25/2003
Taylor, Richard, 09:03:47, 09/25/2003
Hall, Barbara, 09:01:15, 09/30/2003
Cruz, Herbert, 08:58:15, 09/30/2003
Riley, Gloria, 08:48:48, 09/30/2003
Green, Kevin, 08:57:01, 09/30/2003
Richardson, Anna, 09:01:17, 09/30/2003
Buchanan, Nicole, 08:57:07, 09/30/2003
Boyd, James, 09:03:56, 09/30/2003
Garcia, Esperanza, 08:49:25, 09/30/2003
Thomas, Wesley, 08:59:57, 09/30/2003
Manning, Carmen, 09:01:05, 09/30/2003
Jones, Stefanie, 09:09:36, 09/30/2003
Grant, William, 09:01:37, 09/30/2003
Sandoval, Carol, 08:50:45, 09/30/2003
Hodges, Nicholas, 08:54:50, 09/30/2003
Harper, Elizabeth, 08:57:37, 09/30/2003
Diaz, Kyle, 09:03:14, 09/30/2003
Scott, Alexander, 08:57:11, 10/02/2003
Hall, Barbara, 09:04:35, 10/02/2003
Boyd, James, 09:01:57, 10/02/2003
Jones, Stefanie, 09:00:44, 10/02/2003
Buchanan, Nicole, 08:55:39, 10/02/2003
Grant, William, 08:57:38, 10/02/2003
Hodges, Nicholas, 08:56:21, 10/02/2003
Sandoval, Carol, 09:00:10, 10/02/2003
Diaz, Kyle, 09:07:11, 10/02/2003
Richardson, Anna, 09:03:26, 10/02/2003
Taylor, Richard, 09:00:30, 10/02/2003
Manning, Carmen, 08:47:50, 10/02/2003
Cruz, Herbert, 09:03:09, 10/02/2003
Harper, Elizabeth, 09:00:06, 10/02/2003
Chang, Wyatt, 08:58:28, 10/02/2003
Green, Kevin, 09:01:44, 10/02/2003
Conner, Christine, 08:59:28, 10/02/2003
Garcia, Esperanza, 09:00:30, 10/02/2003
Thomas, Wesley, 09:03:06, 10/02/2003
